term,Jamo,alphabet
엄직,ㅇㅓㅁㅈㅣㄱ,DJAWLR
엇논,ㅇㅓㅅㄴㅗㄴ,DJTSHS
엉게,ㅇㅓㅇㄱㅓㅣ,DJDRJL
엉근,ㅇㅓㅇㄱㅡㄴ,DJDRMS
엉은,ㅇㅓㅇㅇㅡㄴ,DJDDMS
엣고,ㅇㅓㅣㅅㄱㅗ,DJLTRH
엣다,ㅇㅓㅣㅅㄷㅏ,DJLTEK
여리아,ㅇㅕㄹㅣㅇㅏ,DUFLDK
여슈라,ㅇㅕㅅㅠㄹㅏ,DUTBFK
여야지,ㅇㅕㅇㅑㅈㅣ,DUDIWL
연게,ㅇㅕㄴㄱㅓㅣ,DUSRJL
연만,ㅇㅕㄴㅁㅏㄴ,DUSAKS
연에,ㅇㅕㄴㅇㅓㅣ,DUSDJL
염즉,ㅇㅕㅁㅈㅡㄱ,DUAWMR
염직,ㅇㅕㅁㅈㅣㄱ,DUAWLR
였자,ㅇㅕㅅㅅㅈㅏ,DUTTWK
영근,ㅇㅕㅇㄱㅡㄴ,DUDRMS
오려다,ㅇㅗㄹㅕㄷㅏ,DHFUEK
오리니,ㅇㅗㄹㅣㄴㅣ,DHFLSL
오리다,ㅇㅗㄹㅣㄷㅏ,DHFLEK
오리라,ㅇㅗㄹㅣㄹㅏ,DHFLFK
오소라,ㅇㅗㅅㅗㄹㅏ,DHTHFK
오시라,ㅇㅗㅅㅣㄹㅏ,DHTLFK
오이다,ㅇㅗㅇㅣㄷㅏ,DHDLEK
올뎐,ㅇㅗㄹㄷㅕㄴ,DHFEUS
옴새,ㅇㅗㅁㅅㅏㅣ,DHATKL
완쟈,ㅇㅗㅏㄴㅈㅑ,DHKSWI
요리라,ㅇㅛㄹㅣㄹㅏ,DYFLFK
요미오,ㅇㅛㅁㅣㅇㅗ,DYALDH
우리니,ㅇㅜㄹㅣㄴㅣ,DNFLSL
우리라,ㅇㅜㄹㅣㄹㅏ,DNFLFK
원다,ㅇㅜㅓㄴㄷㅏ,DNJSEK
월다,ㅇㅜㅓㄹㄷㅏ,DNJFEK
웨다,ㅇㅜㅓㅣㄷㅏ,DNJLEK
으께,ㅇㅡㄱㄱㅓㅣ,DMRRJL
으나마,ㅇㅡㄴㅏㅁㅏ,DMSKAK
으냐고,ㅇㅡㄴㅑㄱㅗ,DMSIRH
으니라,ㅇㅡㄴㅣㄹㅏ,DMSLFK
으니야,ㅇㅡㄴㅣㅇㅑ,DMSLDI
으니오,ㅇㅡㄴㅣㅇㅗ,DMSLDH
으라고,ㅇㅡㄹㅏㄱㅗ,DMFKRH
으라나,ㅇㅡㄹㅏㄴㅏ,DMFKSK
으라마,ㅇㅡㄹㅏㅁㅏ,DMFKAK
